GeneID	BRO_1_ANAMMOX	BRO_2_ANAMMOX	BRO_1_SP_ELECTRODE	BRO_2_SP_ELECTRODE
PROKKA_20592	107	158	18	35
PROKKA_20593	268	484	84	109
PROKKA_20594	61	104	4	11
PROKKA_20595	108	190	27	50
PROKKA_20596	173	293	43	69
PROKKA_20597	21	31	1	8
PROKKA_20598	9	26	2	8
PROKKA_20600	22	41	13	8
PROKKA_20601	50	66	24	37
PROKKA_20602	93	155	27	50
PROKKA_20603	307	524	59	124
PROKKA_20604	181	424	48	99
PROKKA_20605	338	731	177	111
PROKKA_20606	60	86	26	42
PROKKA_20607	162	269	50	92
PROKKA_20608	7	7	8	6
PROKKA_20609	13	11	4	7
PROKKA_20610	36	12	15	6
PROKKA_20611	106	149	12	48
PROKKA_20612	259	412	513	382
PROKKA_20613	67	119	61	105
PROKKA_20614	49	85	32	73
PROKKA_20615	189	416	84	150
PROKKA_20616	65	144	22	32
PROKKA_20617	456	843	151	171
PROKKA_20618	243	336	44	67
PROKKA_20619	504	878	197	191
PROKKA_20620	216	393	53	62
PROKKA_20621	98	143	15	22
PROKKA_20622	105	175	23	44
PROKKA_20623	5	12	8	5
PROKKA_20624	23	15	9	25
PROKKA_20625	17	23	2	10
PROKKA_20626	60	66	29	32
PROKKA_20627	182	428	75	43
PROKKA_20628	34	92	14	9
PROKKA_20629	82	108	22	15
PROKKA_20630	24	25	6	3
PROKKA_20631	65	102	8	15
PROKKA_20632	18	13	11	17
PROKKA_20633	57	99	37	39
PROKKA_20634	534	1041	113	127
PROKKA_20635	45	66	10	18
PROKKA_20636	77	149	9	31
PROKKA_20637	2017	3812	554	646
PROKKA_20638	52	41	9	25
PROKKA_20639	336	577	117	121
PROKKA_20640	458	747	168	198
PROKKA_20641	203	253	50	114
PROKKA_20642	73	102	37	82
PROKKA_20643	103	115	28	74
PROKKA_20644	74	113	19	101
PROKKA_20645	459	753	71	95
PROKKA_20646	369	777	57	56
PROKKA_20647	492	826	42	99
PROKKA_20648	311	531	49	99
PROKKA_20649	432	705	127	210
PROKKA_20650	744	1287	86	234
PROKKA_20651	1396	2416	94	117
PROKKA_20652	243	382	6	9
PROKKA_20653	922	1636	86	102
PROKKA_20654	407	665	21	31
PROKKA_20655	546	950	51	63
PROKKA_20656	819	1320	141	238
PROKKA_20657	338	525	31	40
PROKKA_20658	239	376	13	21
PROKKA_20659	79	123	17	36
PROKKA_20660	206	341	17	43
PROKKA_20661	114	151	37	51
PROKKA_20662	281	499	82	93
PROKKA_20663	16	33	5	3
PROKKA_20664	28	53	9	9
PROKKA_20665	67	104	4	19
PROKKA_20666	595	1035	192	274
PROKKA_20667	87	183	37	53
PROKKA_20668	664	1456	165	211
PROKKA_20669	38	61	3	6
PROKKA_20670	30	48	4	6
PROKKA_20671	321	541	33	73
PROKKA_20672	363	688	57	74
PROKKA_20673	149	254	32	49
PROKKA_20674	28	50	7	5
PROKKA_20675	573	1129	138	185
PROKKA_20676	174	257	41	93
PROKKA_20677	103	150	28	63
PROKKA_20678	151	279	41	82
PROKKA_20679	171	287	54	85
PROKKA_20680	118	157	18	47
PROKKA_20681	152	185	4	21
PROKKA_20682	147	297	45	72
PROKKA_20683	182	355	81	96
PROKKA_20684	224	355	60	136
PROKKA_20685	128	199	38	69
PROKKA_20686	330	518	50	230
PROKKA_20687	152	213	20	34
PROKKA_20688	88	153	21	47
PROKKA_20689	740	1401	94	175
PROKKA_213455	9952	21368	6435	3931
PROKKA_217626	40	42	6	5
PROKKA_22150	45	51	10	20
PROKKA_22151	117	131	33	53
PROKKA_22152	38	56	22	18
PROKKA_22153	52	99	15	18
PROKKA_22154	121	171	21	63
PROKKA_22155	31	56	7	21
PROKKA_22156	170	216	43	100
PROKKA_22157	138	213	96	121
PROKKA_22158	1548	2720	1201	927
PROKKA_22159	77	119	11	33
PROKKA_22160	620	900	707	1745
PROKKA_22161	1021	1634	648	1002
PROKKA_22162	321	540	127	160
PROKKA_22163	121	189	26	56
PROKKA_22164	74	105	10	38
PROKKA_22165	558	869	107	150
PROKKA_22166	299	495	24	110
PROKKA_22167	926	1536	152	202
PROKKA_22168	171	325	19	64
PROKKA_22169	63	99	6	21
PROKKA_22170	158	229	18	28
PROKKA_22171	1035	1673	94	116
PROKKA_22172	390	685	85	132
PROKKA_22173	5011	9265	1119	1158
PROKKA_22174	1565	2969	613	570
PROKKA_22175	135	283	35	51
PROKKA_22176	1528	2841	944	1016
PROKKA_22177	981	1720	361	366
PROKKA_22178	47	87	4	10
PROKKA_22179	1777	3804	946	872
PROKKA_22180	208	339	53	61
PROKKA_22181	85	119	28	53
PROKKA_22182	1209	2064	438	524
PROKKA_22183	681	1206	226	244
PROKKA_22184	1203	1894	211	397
PROKKA_22185	264	397	60	80
PROKKA_22186	147	163	19	59
PROKKA_22187	89	169	11	13
PROKKA_22188	116	150	5	11
PROKKA_22189	86	145	6	7
PROKKA_22190	341	595	77	54
PROKKA_22191	297	579	33	40
PROKKA_22192	215	416	45	52
PROKKA_22193	39	46	12	26
PROKKA_22194	69	126	61	60
PROKKA_22195	47	71	42	84
PROKKA_22196	31	39	17	26
PROKKA_22197	70	110	68	111
PROKKA_22198	182	276	68	108
PROKKA_22199	636	1171	370	586
PROKKA_22200	450	941	149	169
PROKKA_22201	718	1392	145	196
PROKKA_22202	216	355	39	45
PROKKA_22203	75	92	5	16
PROKKA_22204	111	197	37	56
PROKKA_22205	51	79	14	50
PROKKA_22206	114	213	23	63
PROKKA_22207	158	338	66	84
PROKKA_22208	155	263	50	113
PROKKA_22209	155	269	82	94
PROKKA_22210	181	243	52	105
PROKKA_22211	369	743	177	127
PROKKA_22212	78	135	34	84
PROKKA_22213	98	162	57	69
PROKKA_22214	121	226	52	49
PROKKA_22215	1086	1728	505	797
PROKKA_22216	1145	2390	1196	875
PROKKA_22217	618	1232	952	798
PROKKA_22218	763	1421	692	1074
PROKKA_22219	348	569	199	218
PROKKA_22220	20	7	5	5
PROKKA_22221	634	1094	384	539
PROKKA_22222	345	645	128	301
PROKKA_22223	2915	5949	1806	2084
PROKKA_22224	775	1247	368	737
PROKKA_22225	1199	2109	561	642
PROKKA_22226	3941	6878	1840	2865
PROKKA_22227	262	540	194	165
PROKKA_22228	283	416	42	94
PROKKA_22229	2532	4259	612	682
PROKKA_22230	1078	1787	69	99
PROKKA_22231	148	246	60	233
PROKKA_22232	6160	11025	5266	4942
PROKKA_22233	312	620	304	252
PROKKA_22234	120	155	76	230
PROKKA_22235	552	815	235	488
PROKKA_22236	251	368	68	127
PROKKA_22237	236	433	93	140
PROKKA_22238	198	345	45	98
PROKKA_22239	81	117	14	32
PROKKA_22240	11	35	5	9
PROKKA_22241	4242	8106	1399	1225
PROKKA_22242	40	36	4	8
PROKKA_22243	140	196	18	30
PROKKA_22244	214	314	21	43
PROKKA_22245	1413	2465	435	473
PROKKA_22246	459	764	62	123
PROKKA_22247	199	298	26	53
PROKKA_22248	621	1200	193	117
PROKKA_22249	279	357	28	83
PROKKA_22250	614	1002	203	327
PROKKA_22251	722	1161	115	163
PROKKA_22252	261	469	37	67
PROKKA_22253	88	114	16	18
PROKKA_22254	80	112	14	11
PROKKA_22255	303	690	105	53
PROKKA_22256	51	88	14	20
PROKKA_22257	257	409	80	76
PROKKA_22259	1768	3490	772	607
PROKKA_22260	425	821	89	149
PROKKA_22261	755	1302	61	90
PROKKA_22262	47	60	6	5
PROKKA_22263	251	354	27	55
PROKKA_22264	9215	15412	836	964
PROKKA_22265	448	722	57	162
PROKKA_22266	492	734	59	140
PROKKA_22267	225	386	59	79
PROKKA_22268	146	241	39	68
PROKKA_22269	511	853	157	199
PROKKA_22270	202	354	93	150
PROKKA_22271	354	624	259	398
PROKKA_22272	205	354	237	291
PROKKA_22273	428	745	816	1127
PROKKA_22274	510	816	194	388
PROKKA_22275	1556	3030	2186	1942
PROKKA_22276	428	847	329	345
PROKKA_22277	692	1171	435	594
PROKKA_22278	10	12	6	7
PROKKA_22279	123	188	23	78
PROKKA_22280	354	662	139	358
PROKKA_22281	332	528	67	156
PROKKA_22282	113	148	17	29
PROKKA_22283	106	98	24	31
PROKKA_22284	95	129	18	29
PROKKA_22285	413	621	136	280
PROKKA_22286	43	37	2	4
PROKKA_22287	387	548	183	333
PROKKA_22288	4159	7045	5926	10739
PROKKA_22289	690	1205	532	756
PROKKA_22290	159	297	84	128
PROKKA_22291	428	677	158	231
PROKKA_22292	518	861	269	396
PROKKA_22293	23	85	14	24
PROKKA_22294	636	1182	246	378
PROKKA_22295	111	174	50	100
PROKKA_22296	124	230	65	158
PROKKA_22297	129	226	33	107
PROKKA_22298	100	32	11	100
PROKKA_22299	46	17	2	50
PROKKA_22300	1495	2558	934	935
PROKKA_22301	766	1206	253	509
PROKKA_22302	118	224	35	54
PROKKA_22303	99	165	41	63
PROKKA_22304	125	177	21	77
PROKKA_22305	2742	4726	1103	1177
PROKKA_22306	146	262	27	58
PROKKA_22307	109	211	26	41
PROKKA_22308	580	1033	98	173
PROKKA_22309	202	273	103	191
PROKKA_22310	132	196	20	30
PROKKA_22311	655	1364	166	176
PROKKA_22312	67	60	13	41
PROKKA_22313	539	1031	192	206
PROKKA_22314	280	547	113	155
PROKKA_22315	542	878	180	215
PROKKA_22316	439	901	310	200
PROKKA_22317	304	549	128	155
PROKKA_22318	177	339	44	101
PROKKA_22319	548	1039	344	300
PROKKA_22320	659	1203	422	643
PROKKA_22321	162	212	36	86
PROKKA_22322	896	1832	379	280
PROKKA_22323	413	643	40	79
PROKKA_22324	1152	2038	514	670
PROKKA_22325	353	596	58	83
PROKKA_22326	6	11	4	1
PROKKA_22327	142	210	23	60
PROKKA_22328	369	741	62	75
PROKKA_22329	40	48	5	17
PROKKA_22330	63	148	35	65
PROKKA_22331	100	119	25	42
PROKKA_22332	87	135	14	16
PROKKA_22333	56	82	10	27
PROKKA_22334	59	113	13	20
PROKKA_22335	200	371	81	142
PROKKA_22336	264	385	53	123
PROKKA_22337	58	125	26	48
PROKKA_22338	117	179	33	86
PROKKA_22339	110	199	32	76
PROKKA_22340	123	205	37	121
PROKKA_22341	59	100	30	18
PROKKA_22342	67	123	16	23
PROKKA_22343	69	77	18	50
PROKKA_22344	43	74	11	11
PROKKA_22345	40	35	15	22
PROKKA_22346	58	59	17	38
PROKKA_22347	125	149	106	91
PROKKA_22348	177	267	63	85
PROKKA_22349	25	59	10	18
PROKKA_22350	35	55	32	37
PROKKA_22351	21	22	6	14
PROKKA_22352	8	16	10	23
PROKKA_22353	177	318	80	65
PROKKA_22354	118	185	12	13
PROKKA_22355	180	284	41	52
PROKKA_22356	1050	1646	225	342
PROKKA_22357	573	1181	186	152
PROKKA_22358	315	561	76	85
PROKKA_22359	2361	3676	609	752
PROKKA_22361	463	783	190	189
PROKKA_22362	877	1577	397	386
PROKKA_22363	1016	1931	276	352
PROKKA_22364	220	424	115	116
PROKKA_22365	44	65	10	15
PROKKA_22366	58	75	12	15
PROKKA_22367	10	6	1	3
PROKKA_22368	310	579	151	136
PROKKA_22369	42	74	10	17
PROKKA_22370	172	273	45	89
PROKKA_22371	359	715	98	111
PROKKA_223713	490	717	709	898
PROKKA_22372	196	289	30	59
PROKKA_22373	2179	3899	1520	2941
PROKKA_22374	45	75	19	36
PROKKA_22375	113	153	51	52
PROKKA_22376	51	63	11	43
PROKKA_22377	176	186	60	144
PROKKA_22378	41	83	23	33
PROKKA_22379	90	146	106	119
PROKKA_22381	279	403	51	140
PROKKA_22382	301	549	118	236
PROKKA_22383	55	98	11	13
PROKKA_22384	891	1656	102	111
PROKKA_22385	612	878	104	175
PROKKA_22386	9	10	2	5
PROKKA_22387	0	5	2	2
PROKKA_22388	1634	3040	429	425
PROKKA_22389	102	165	14	32
PROKKA_22390	61	84	17	28
PROKKA_22391	246	363	32	47
PROKKA_22392	70	91	7	12
PROKKA_22393	948	1737	181	165
PROKKA_22394	277	497	80	62
PROKKA_22395	3472	6118	515	431
PROKKA_22396	1050	1816	127	200
PROKKA_22397	59	133	5	13
PROKKA_22398	344	636	62	95
PROKKA_22399	77	125	27	16
PROKKA_22400	44	84	8	10
PROKKA_22401	86	155	23	26
PROKKA_22402	156	227	46	65
PROKKA_22403	974	1658	287	256
PROKKA_22404	469	733	475	570
PROKKA_22405	766	1191	595	615
PROKKA_22406	2114	3676	2301	2552
PROKKA_22407	1889	2542	763	5095
PROKKA_22408	71	123	10	36
PROKKA_22409	35	46	13	14
PROKKA_22410	747	1371	78	177
PROKKA_22411	1100	1885	450	671
PROKKA_22412	462	1112	153	173
PROKKA_22413	164	228	29	50
PROKKA_22414	144	270	27	43
PROKKA_22415	121	220	34	56
PROKKA_22416	60	11	6	32
PROKKA_22417	13	21	7	15
PROKKA_22418	24	41	3	7
PROKKA_22419	20	24	5	12
PROKKA_22420	1033	1824	834	783
PROKKA_22421	241	487	154	159
PROKKA_22422	30	41	13	23
PROKKA_22423	94	168	21	48
PROKKA_22424	598	1209	236	206
PROKKA_22425	154	313	54	79
PROKKA_22426	14	24	3	4
PROKKA_22427	286	438	183	354
PROKKA_22428	1096	1799	682	809
PROKKA_22429	1084	2271	343	492
PROKKA_22430	73	158	59	141
PROKKA_22431	563	1148	305	280
PROKKA_22432	82	133	26	43
PROKKA_22433	44	25	15	16
PROKKA_22434	44	98	106	129
PROKKA_22435	65	94	20	43
PROKKA_22436	24	45	8	10
PROKKA_22437	22	34	4	11
PROKKA_22438	48	74	21	50
PROKKA_22439	62	78	15	41
PROKKA_22440	45	58	21	26
PROKKA_22441	176	295	355	361
PROKKA_22442	11	5	4	10
PROKKA_22443	71	98	34	69
PROKKA_22444	46	70	39	34
PROKKA_22445	46	19	7	13
PROKKA_22446	29	67	21	21
PROKKA_22447	292	474	99	275
PROKKA_22448	21	43	6	13
PROKKA_22449	515	853	137	250
PROKKA_22450	385	596	69	162
PROKKA_22451	333	474	55	160
PROKKA_22452	458	755	139	253
PROKKA_22453	606	1016	336	675
PROKKA_22454	81	121	37	51
PROKKA_22455	273	510	148	92
PROKKA_22456	503	881	109	169
PROKKA_22457	954	1567	126	152
PROKKA_22458	1327	2671	300	237
PROKKA_22459	119	218	38	40
PROKKA_22460	1387	2380	498	550
PROKKA_22461	170	274	60	87
PROKKA_22462	93	140	25	35
PROKKA_22463	25	14	104	76
PROKKA_22464	201	301	668	407
PROKKA_22465	50	71	33	35
PROKKA_22466	201	309	81	136
PROKKA_22467	164	288	40	90
PROKKA_22469	109	162	72	90
PROKKA_22470	473	734	563	1115
PROKKA_22471	69	110	36	44
PROKKA_22472	63	123	28	30
PROKKA_22473	105	261	28	53
PROKKA_22474	426	738	68	81
PROKKA_22475	723	1084	91	243
PROKKA_22476	369	603	67	118
PROKKA_22477	5	1	2	3
PROKKA_22478	107	147	37	72
PROKKA_22479	322	439	66	112
PROKKA_22480	846	1272	331	610
PROKKA_22481	188	365	52	78
PROKKA_22482	10	15	5	9
PROKKA_22483	388	650	49	88
PROKKA_22484	337	484	58	87
PROKKA_22485	225	408	27	47
PROKKA_22486	151	332	65	114
PROKKA_22487	192	314	130	853
PROKKA_22488	966	1773	423	540
PROKKA_22489	38	71	27	80
PROKKA_22490	21	35	33	63
PROKKA_22491	58	86	40	59
PROKKA_22492	112	195	65	81
PROKKA_22493	33	54	11	13
PROKKA_22494	16	40	3	14
PROKKA_22495	46	53	7	26
PROKKA_22496	505	877	80	117
PROKKA_22497	277	506	38	163
PROKKA_22498	121	181	26	49
PROKKA_22499	51	44	3	36
PROKKA_22500	101	160	7	27
PROKKA_22501	517	943	142	103
PROKKA_22502	54	84	2	13
PROKKA_22503	232	384	55	75
PROKKA_22504	130	172	18	70
PROKKA_22505	69	91	12	23
PROKKA_22506	186	288	53	84
PROKKA_22507	217	377	38	55
PROKKA_22508	429	558	101	187
PROKKA_22509	116	127	23	57
PROKKA_22510	71	113	14	23
PROKKA_22511	133	244	450	483
PROKKA_22512	282	407	154	252
PROKKA_22513	75	97	24	54
PROKKA_22514	106	152	38	49
PROKKA_22515	143	200	38	71
PROKKA_22516	189	369	69	100
PROKKA_22517	43	52	24	37
PROKKA_22518	51	53	15	23
PROKKA_22519	76	136	36	33
PROKKA_22520	159	229	63	98
PROKKA_22521	197	280	137	148
PROKKA_22522	27	28	12	34
PROKKA_22523	184	278	87	107
PROKKA_22524	215	381	98	203
PROKKA_22525	105	183	35	59
PROKKA_22526	175	296	58	73
PROKKA_22527	166	203	35	65
PROKKA_22528	107	192	28	83
PROKKA_22529	177	260	24	49
PROKKA_22530	376	652	154	167
PROKKA_22531	141	267	86	113
PROKKA_22532	42	65	10	35
PROKKA_22533	317	511	250	301
PROKKA_22534	93	146	41	112
PROKKA_22535	134	214	73	61
PROKKA_22536	141	240	251	218
PROKKA_22537	1416	2342	953	771
PROKKA_225374	137	174	37	40
PROKKA_225375	241	410	93	82
PROKKA_22538	1246	2254	5054	2534
PROKKA_22539	26	18	8	22
PROKKA_22540	328	588	192	319
PROKKA_22541	364	624	147	187
PROKKA_22542	48	148	39	56
PROKKA_22543	361	529	195	185
PROKKA_22544	75	137	65	66
PROKKA_22545	24	39	10	76
PROKKA_22546	1265	2343	519	785
PROKKA_22547	284	459	67	68
PROKKA_22548	62	90	12	19
PROKKA_22549	61	124	26	36
PROKKA_22550	104	129	13	24
PROKKA_22551	293	490	81	157
PROKKA_22552	404	613	152	151
PROKKA_22553	102	128	32	22
PROKKA_22555	227	292	50	61
PROKKA_22556	122	212	27	41
PROKKA_22557	243	92	36	138
PROKKA_22558	50	44	2	1
PROKKA_22559	25	35	8	6
PROKKA_22560	628	1043	94	144
PROKKA_22561	336	493	61	112
PROKKA_22562	374	631	132	112
PROKKA_22563	292	466	95	70
PROKKA_22564	221	334	53	75
PROKKA_22565	166	240	60	88
PROKKA_22566	2026	3206	362	482
PROKKA_22567	2871	4562	882	1561
PROKKA_22568	72	142	13	24
PROKKA_22569	253	363	27	66
PROKKA_22570	1296	2032	209	335
PROKKA_22571	250	95	42	137
PROKKA_22572	60	101	4	16
PROKKA_22573	94	99	4	39
PROKKA_22574	144	197	20	23
PROKKA_22575	52	58	3	5
PROKKA_22576	120	155	20	40
PROKKA_22577	92	113	8	23
PROKKA_22578	285	478	14	34
PROKKA_22579	237	355	14	38
PROKKA_22580	106	109	21	37
PROKKA_22581	32	73	9	5
PROKKA_22582	55	49	6	28
PROKKA_22583	123	150	9	35
PROKKA_22584	107	110	3	12
PROKKA_22585	146	224	15	23
PROKKA_22586	89	171	1	5
PROKKA_22587	355	636	58	88
PROKKA_22588	38	71	7	25
PROKKA_22589	96	62	16	57
PROKKA_22590	220	268	14	25
PROKKA_22591	1295	2596	390	433
PROKKA_22592	653	1076	223	286
PROKKA_22593	711	1179	105	200
PROKKA_22594	201	344	17	47
PROKKA_22595	58	81	9	14
PROKKA_22596	299	510	40	78
PROKKA_22597	347	612	35	88
PROKKA_22598	144	215	12	24
PROKKA_22599	997	1319	55	155
PROKKA_22600	924	1643	172	160
PROKKA_22601	234	272	22	68
PROKKA_22602	185	319	14	43
PROKKA_22603	152	263	42	66
PROKKA_22604	616	964	327	442
PROKKA_22605	440	723	78	133
PROKKA_22606	30	40	5	11
PROKKA_22607	214	454	52	67
PROKKA_22608	67	95	14	18
PROKKA_22609	474	746	97	116
PROKKA_22610	94	227	14	31
PROKKA_22611	3432	5300	6086	11792
PROKKA_22612	5983	9517	6501	7941
PROKKA_22613	780	1252	832	715
PROKKA_22615	163	248	95	129
PROKKA_22616	461	749	33	123
PROKKA_22617	88	147	11	26
PROKKA_22618	326	560	72	63
PROKKA_22619	648	891	90	155
PROKKA_22620	1655	2859	200	230
PROKKA_22621	2562	4207	955	633
PROKKA_22622	1413	2423	236	256
PROKKA_22623	321	466	927	778
PROKKA_227570	241	212	22	122
PROKKA_227571	427	309	98	226
PROKKA_230870	45	35	38	51
PROKKA_230871	54	21	24	39
PROKKA_233237	72	7	16	37
PROKKA_29084	1461	2812	222	157
PROKKA_29085	354	559	8	15
PROKKA_29086	1074	2185	121	162
PROKKA_29087	48	82	3	9
PROKKA_29088	309	598	71	63
PROKKA_29090	357	503	120	301
PROKKA_29091	145	183	41	61
PROKKA_29092	346	517	126	145
PROKKA_29093	195	297	109	113
PROKKA_29094	68	74	30	47
PROKKA_29095	81	151	45	57
PROKKA_29096	302	505	29	60
PROKKA_29097	63	81	19	26
PROKKA_29098	96	156	38	88
PROKKA_29099	41	40	15	21
PROKKA_29100	222	357	32	38
PROKKA_29101	21	28	3	1
PROKKA_29102	11	24	2	9
PROKKA_29103	93	105	31	34
PROKKA_29104	246	359	55	180
PROKKA_29105	23	25	9	3
PROKKA_29106	50	100	13	13
PROKKA_29107	21	26	13	11
PROKKA_29108	94	112	16	51
PROKKA_29109	229	375	79	123
PROKKA_29111	54	107	21	31
PROKKA_29112	138	188	37	51
PROKKA_29113	112	145	27	33
PROKKA_29114	121	231	18	29
PROKKA_29115	97	114	32	38
PROKKA_29116	320	530	72	120
PROKKA_29117	839	1405	352	694
PROKKA_29118	129	150	31	47
PROKKA_29119	200	325	69	90
PROKKA_29120	6	12	2	2
PROKKA_29121	204	357	46	32
PROKKA_29122	71	124	10	6
PROKKA_29123	3128	5833	597	546
PROKKA_29124	298	509	66	105
PROKKA_29125	197	359	57	91
PROKKA_29126	434	825	303	560
PROKKA_29127	244	467	87	128
PROKKA_29128	1633	3150	560	642
PROKKA_29129	104	184	9	40
PROKKA_29131	71	71	28	59
PROKKA_29132	3	0	0	4
PROKKA_29133	18	7	1	34
PROKKA_29134	16	10	12	14
PROKKA_29135	32	32	35	51
PROKKA_29136	73	82	43	48
PROKKA_29137	28	20	12	14
PROKKA_29138	13	15	10	4
PROKKA_29139	14	7	10	10
PROKKA_29140	47	97	16	34
PROKKA_29141	54	43	14	35
PROKKA_29142	65	67	23	48
PROKKA_29143	831	1393	247	463
PROKKA_29144	256	429	64	100
PROKKA_29145	598	875	348	432
PROKKA_29146	47	108	12	26
PROKKA_29147	65	92	16	16
PROKKA_29148	326	666	132	145
PROKKA_29149	168	316	53	50
PROKKA_29150	74	148	37	43
PROKKA_29151	113	179	19	30
PROKKA_29152	434	710	110	134
PROKKA_29153	88	155	34	20
PROKKA_29154	706	1151	179	311
PROKKA_29155	241	313	30	136
PROKKA_29156	1	0	0	3
PROKKA_29157	95	190	7	12
PROKKA_29158	34	75	3	1
PROKKA_29159	28	70	0	11
PROKKA_29160	71	118	11	23
PROKKA_29161	31	30	1	5
PROKKA_29162	306	537	65	116
PROKKA_29163	1532	2638	37	51
PROKKA_29164	38	57	17	61
PROKKA_29165	65	65	16	46
PROKKA_29166	55	89	32	79
PROKKA_29168	66	68	56	70
PROKKA_29169	17	36	9	14
PROKKA_29170	42	53	16	29
PROKKA_29171	60	86	46	73
PROKKA_29173	196	341	79	123
PROKKA_29174	250	424	84	85
PROKKA_29175	168	263	30	54
PROKKA_29176	62	108	19	27
PROKKA_29177	140	267	83	130
PROKKA_29178	409	716	32	77
PROKKA_29179	185	328	31	51
PROKKA_29180	329	603	64	152
PROKKA_29181	82	137	34	53
PROKKA_29182	674	1025	74	148
PROKKA_29183	742	1330	395	362
PROKKA_29184	137	228	45	43
PROKKA_29185	1866	3179	1085	1071
PROKKA_29189	96	200	43	71
PROKKA_29190	116	148	33	52
PROKKA_29191	83	140	22	40
PROKKA_29192	261	403	78	170
PROKKA_29193	350	591	72	174
PROKKA_29194	211	480	37	50
PROKKA_29195	107	201	13	26
PROKKA_29196	74	78	5	5
PROKKA_29197	518	914	100	119
PROKKA_29198	120	221	14	48
PROKKA_29199	228	377	24	51
PROKKA_29200	507	901	93	116
PROKKA_29201	87	149	15	21
PROKKA_29202	23	24	3	10
PROKKA_29203	151	261	16	38
PROKKA_29204	237	351	28	48
PROKKA_29205	51	88	23	43
PROKKA_29206	437	724	240	532
PROKKA_29207	128	259	122	264
PROKKA_29208	128	254	116	488
PROKKA_29209	80	122	20	47
PROKKA_29210	52	55	3	17
PROKKA_29212	392	770	58	69
PROKKA_29213	41	84	6	11
PROKKA_29214	255	448	89	108
PROKKA_29215	105	214	19	56
PROKKA_29216	293	498	75	135
PROKKA_29217	633	1116	122	177
PROKKA_29218	112	173	21	41
PROKKA_29219	66	122	27	20
PROKKA_29220	271	513	116	161
PROKKA_29221	390	655	122	363
PROKKA_29222	154	262	68	85
PROKKA_29223	113	207	31	75
PROKKA_29224	224	323	103	175
PROKKA_29225	263	420	191	343
PROKKA_29226	481	667	229	281
PROKKA_29227	702	1186	315	520
PROKKA_29228	943	1618	394	772
PROKKA_29229	445	767	110	254
PROKKA_29230	450	810	175	184
PROKKA_29231	161	233	22	45
PROKKA_29232	2481	4535	1359	1197
PROKKA_29233	3302	6283	1085	835
PROKKA_29234	49	102	41	43
PROKKA_29235	30	68	6	35
PROKKA_29236	110	180	57	55
PROKKA_29238	964	1880	55	82
PROKKA_29239	1333	2435	615	657
PROKKA_29240	40	57	26	29
PROKKA_29241	3	3	15	11
PROKKA_29242	10	5	3	8
PROKKA_29243	128	232	49	92
PROKKA_29244	29	38	7	15
PROKKA_29245	136	316	62	186
PROKKA_29246	97	136	32	40
PROKKA_29247	49	79	14	23
PROKKA_29248	108	194	43	50
PROKKA_29249	439	707	153	236
PROKKA_29250	205	406	78	66
PROKKA_29251	14	33	23	34
PROKKA_29252	706	1385	182	287
PROKKA_29253	250	493	27	76
PROKKA_29254	390	709	64	94
PROKKA_29255	43	10	6	27
PROKKA_29256	123	217	46	44
PROKKA_29257	585	995	196	335
PROKKA_29258	266	492	112	144
PROKKA_29259	471	778	160	226
PROKKA_29260	223	363	30	52
PROKKA_29261	70	153	29	25
PROKKA_29262	1759	2983	379	362
PROKKA_34466	285	530	37	49
PROKKA_34467	56	84	2	14
PROKKA_34468	303	512	52	50
PROKKA_34469	330	523	84	95
PROKKA_34470	21	18	3	10
PROKKA_34471	677	1098	87	186
PROKKA_34472	250	377	53	101
PROKKA_34473	11	5	3	3
PROKKA_34474	57	105	12	24
PROKKA_34475	13	28	5	8
PROKKA_34476	95	120	50	66
PROKKA_34477	87	128	30	45
PROKKA_34479	210	340	146	243
PROKKA_34480	1024	1870	247	363
PROKKA_34481	258	393	24	44
PROKKA_34482	122	248	36	99
PROKKA_34483	39	59	21	31
PROKKA_34484	34	60	12	26
PROKKA_34485	175	243	339	494
PROKKA_34486	30	21	192	583
PROKKA_34487	102	178	18	39
PROKKA_34488	776	1402	210	291
PROKKA_34489	33	52	1	13
PROKKA_34490	123	167	37	93
PROKKA_34491	574	987	249	407
PROKKA_34492	185	290	60	100
PROKKA_34493	138	230	73	109
PROKKA_34494	94	152	44	66
PROKKA_34495	93	143	26	49
PROKKA_34496	650	1022	188	260
PROKKA_34497	1692	3382	682	725
PROKKA_34498	460	744	85	169
PROKKA_34499	233	348	31	141
PROKKA_34500	176	263	49	82
PROKKA_34501	510	974	104	143
PROKKA_34502	12	36	11	24
PROKKA_34503	331	538	92	296
PROKKA_34504	1549	2481	342	376
PROKKA_34505	648	1090	158	202
PROKKA_34506	86	165	110	160
PROKKA_34507	36	49	18	23
PROKKA_34508	721	1240	1567	1245
PROKKA_34509	421	591	139	237
PROKKA_34510	435	800	282	390
PROKKA_34511	92	137	34	60
PROKKA_34512	221	421	70	117
PROKKA_34513	52	71	11	25
PROKKA_34514	55	69	16	10
PROKKA_34515	133	204	31	44
PROKKA_34516	63	58	4	21
PROKKA_34517	67	101	21	31
PROKKA_34518	171	305	54	84
PROKKA_34519	977	2042	836	538
PROKKA_34520	157	238	43	70
PROKKA_34521	40	84	15	13
PROKKA_34522	262	458	72	163
PROKKA_34523	364	475	142	294
PROKKA_34524	202	309	51	57
PROKKA_34525	71	115	1	12
PROKKA_34527	2153	3390	2171	7412
