scaffold1,scaffold2,connections
30,9988,26
116796,48590,3
9540,984,2
131154,6975,2
371,68841,25
105888,29944,32
11073,545,2
19174,21889,2
28800,52132,2
36247,92767,2
31314,3291,2
23464,97629,4
6347,69676,123
108614,19782,2
11561,64081,8
113,67193,478
37357,50489,2
2218,49033,6
23020,46190,5
3091,8985,10
27609,96864,2
2901,87636,2
12291,46599,2
36975,68927,3
119489,609,16
1636,6749,2
6259,9273,16
66898,7662,2
31056,8504,3
30095,4340,4
33954,45803,4
25138,69577,7
102254,46432,4
44699,83895,2
126562,5400,53
12414,43537,7
20820,70290,3
18593,67127,2
108161,2841,8
26,9988,2
100161,5867,2
1455,24831,2
1662,75076,3
22084,65380,4
57031,67975,2
21406,4792,2
3162,7773,8
118425,77448,8
48977,75583,2
23702,73944,6
59554,934,13
106658,123942,4
167,69909,165
4033,66747,2
33688,9328,3
117700,20251,2
69,8132,6
24033,87863,4
35581,8534,3
61379,8379,11
1826,82444,8
22388,27453,11
138,264,2
25027,36216,2
146,646,51
19508,74020,10
130521,4558,2
823,99209,238
33014,45109,2
3577,8053,2
3151,89,2
117324,317,5
44309,84780,3
12658,23499,5
128821,65830,2
5708,812,10
1366,90229,12
30732,38781,2
74734,8976,6
68536,831,2
123960,28142,2
3514,3644,2
22387,3121,2
4534,73110,2
110,7585,2
1035,49611,5
40166,5308,3
110030,11699,8
20216,73455,3
21891,4333,4
52080,551,9
208,7488,2
118425,12842,2
14943,2050,2
12493,34557,2
13413,17116,3
130720,29723,2
55835,9125,10
404,6534,4
55354,613,5
10735,21123,2
110,746,2
44309,51889,2
7183,7841,14
3923,94224,15
104076,48469,2
31990,7306,2
18947,48307,9
146,388,24
18318,51461,2
38421,85086,2
11984,3472,4
18642,87636,3
15850,80,6
1048,8340,2
77537,88624,7
27146,3763,2
78302,83073,2
20251,67975,2
20381,99472,34
13495,77122,2
1827,8139,2
14991,84780,3
1059,36790,2
11131,8257,2
1823,2836,6
23755,70138,5
13942,72847,2
108323,2425,9
36214,43900,12
6351,67554,2
7247,86965,4
52821,57083,2
131369,21766,2
1711,87763,5
15705,45657,3
12608,138,4
15583,16977,2
126773,3517,3
7414,99334,2
81453,88187,2
10816,88309,2
65989,8249,4
10238,70980,2
112497,3910,2
26613,597,8
74253,9676,5
28846,74738,10
37535,42401,2
16275,18619,8
59729,803,3
37537,44811,3
106989,1497,5
121785,93136,6
17173,67482,2
24803,77117,2
111845,4800,3
103453,75584,23
12121,130720,2
17508,67044,8
457,81713,4
391,54957,58
14461,936,14
19206,28636,9
39520,6137,4
41482,94563,5
110835,17701,21
18732,53426,6
10472,14710,2
3779,9369,3
2628,98942,22
33080,43207,5
177,646,2
1317,28261,2
18540,27605,4
1369,138,2
21337,33304,5
16297,44633,10
145,310,82
14405,39670,3
22170,28455,2
131156,46472,2
15187,53795,16
19003,90362,3
115572,55516,3
1387,4208,5
26814,49158,4
42165,51889,2
49029,93135,2
23956,53008,3
22464,22956,2
31340,79175,2
11416,74572,2
119124,131789,5
533,79,3
22243,58340,3
1106,7589,3
31946,3305,4
115033,5668,2
111014,17944,4
14524,59976,3
6946,94224,2
115027,148,2
56,56545,8
121416,91791,2
30316,63028,5
13085,46117,2
10275,127776,16
515,60333,8
73804,92036,6
1660,4236,8
108160,853,12
26141,65914,3
25224,598,16
74828,7981,23
118760,18402,7
50253,56778,2
130930,58860,6
101845,118593,2
12226,18987,2
2011,2778,4
1930,57724,8
115027,74828,26
33890,5900,6
1515,31311,3
17450,95807,3
47096,5454,2
2893,968,3
51550,51793,2
5523,80086,3
10481,5453,8
17165,95069,3
21468,52,21
131154,149,7
31720,71122,10
37662,70678,2
17523,82,2
3118,5572,2
104539,1444,35
14375,14668,8
17754,49611,2
30391,6470,5
15113,421,2
598,8804,11
39947,4564,3
28415,80277,3
11982,2810,29
117149,87637,4
40059,6442,2
85399,94562,11
1366,73944,7
2796,8174,2
580,59611,7
36,67043,41
12872,64249,4
23859,26898,2
10435,894,120
68927,8771,3
2062,2405,6
1764,6095,4
12700,135357,6
58340,73636,5
5387,66,2
14952,55717,2
10927,11540,4
31086,59981,2
484,69676,61
10348,83894,10
16007,9921,2
12159,82444,4
32259,43868,4
49997,80967,2
11027,1242,8
12694,14462,2
44976,87642,10
12105,61744,12
29269,34764,4
17280,23755,5
11457,59620,2
35782,53847,2
43052,78680,2
104978,14947,2
111194,9033,2
19581,27213,5
121412,43272,2
11270,6818,2
45164,88198,2
18204,4780,2
118760,15440,4
33841,70385,3
1642,2342,2
404,77711,16
66190,69753,2
33203,33319,2
125117,29899,4
3008,63445,4
11382,8245,71
13160,86170,29
17284,44732,3
14259,48590,4
25655,50671,2
35541,9806,2
26016,69676,241
101127,90355,2
15553,7222,3
21328,61756,5
64134,8014,3
12700,7273,6
7349,9921,2
1824,29820,2
2312,33193,12
107284,47465,4
5680,91683,2
100160,25380,2
106658,39521,10
21255,46953,3
26259,41981,5
55720,69201,2
347,94096,25
69267,7692,7
141,72935,10
10080,23502,19
10110,8326,2
34059,42659,2
34553,91665,4
11545,26065,12
13398,46471,2
46519,66817,34
10349,53587,4
25614,3828,2
124939,5859,2
73944,95942,9
21760,91,32
38514,65147,3
185,53692,156
22246,26070,3
75,88748,28
24222,66895,2
74828,8017,16
34945,4689,2
1456,2213,7
21891,53222,2
114157,69836,2
41984,84341,3
596,947,4
17458,67328,2
146,33404,17
372,436,3
10555,11382,42
131356,886,3
401,803,2
36299,57136,3
113,2463,145
13170,73035,2
24132,77537,3
13006,49569,2
28191,42593,4
101007,28857,2
64248,9,7
109071,67254,4
115760,65646,2
23362,48401,2
2628,3474,25
106363,603,20
13362,88194,2
14672,39092,2
1436,33614,6
26658,9377,2
69909,94691,172
3048,7397,7
2655,78569,3
2324,4174,3
132433,18336,18
1435,845,6
1219,6,10
166,257,3
339,789,4
14665,777,6
132444,45398,2
1366,1678,15
10,9134,4
104075,27718,3
18276,3578,7
115201,27145,2
2507,3311,3
110667,89312,2
4361,5523,6
103,8762,4
1373,1519,3
25462,28678,2
2868,59448,3
123564,20593,4
5677,99762,4
17282,33265,2
6886,97373,3
6903,9449,2
24132,66396,5
54176,7526,2
20925,33837,2
53222,58340,2
51199,58970,2
49375,7228,2
10106,22127,2
2105,5448,2
35269,9576,4
83997,86969,18
28530,54852,2
2019,53692,15
38476,52241,4
26066,47946,10
10135,20313,2
103313,112312,6
32957,92767,2
19401,63390,2
37896,84204,2
33835,4717,2
103158,12608,6
15414,26467,2
572,578,14
54114,55296,7
32988,34901,3
121577,2716,4
119489,7888,15
39083,67975,5
5340,61379,14
1469,69577,15
16464,65445,2
2092,9817,3
1037,72,4
8054,90817,4
1219,59729,10
11475,60471,2
69676,838,124
1135,131154,3
158,52868,3
1376,520,2
25326,27100,6
118589,50924,3
17966,19407,4
23956,509,131
118437,41788,2
18387,25871,4
102566,459,20
14379,2195,7
10392,15578,2
19680,53846,2
3179,69577,4
1110,1308,2
27,35985,7
92275,97503,3
16199,1687,3
33379,44300,2
108322,1563,7
5540,85714,2
119489,2790,17
1369,69676,136
58741,90129,2
2412,3324,2
2369,4349,24
410,890,4
33435,38882,2
16991,38932,2
3251,5502,2
88750,9719,3
185,9540,9
3878,4460,2
110474,5438,4
63,99472,20
49,86964,27
1148,3808,2
22243,41611,3
10435,1694,106
10601,15733,3
20117,7052,2
17911,64611,5
5400,62714,3
113988,29858,2
131356,14943,5
21735,63028,3
484,93,4
2740,95069,5
167,416,3
59191,87948,15
1738,1963,25
611,74019,19
30711,53264,5
38421,57255,3
19201,64549,5
29681,4138,4
1436,85399,4
37233,9895,5
3828,5710,2
20820,5269,2
10254,15719,5
167,99209,8
1092,966,2
128611,25165,5
13546,8802,3
35336,51889,4
55156,61744,2
20381,975,15
35553,60895,2
4102,4218,2
18828,67126,3
130720,51499,5
21407,46988,3
55947,80847,2
107876,4623,3
17268,82445,4
32803,87872,2
15330,70981,4
119,74987,30
1144,14750,8
12105,84543,7
14140,223,3
17530,66464,3
24293,38274,2
1912,65990,5
12973,22309,2
11603,63389,2
134702,80755,2
21152,47773,2
11054,21034,2
22362,974,4
40093,44633,12
39624,4333,3
119123,41,22
28740,56232,6
109,72935,15
410,59448,6
42435,64612,2
75348,93136,2
101520,5376,2
32775,6591,2
4278,7133,2
6017,62,9
28048,6529,2
288,2895,3
181,68391,2
6125,8588,2
75584,87192,2
19581,36274,2
54114,75849,2
15058,49611,3
21891,27213,2
1673,20046,3
55053,80168,2
132445,70595,2
35161,54055,2
20251,22,2
60645,7343,2
13398,81547,3
35727,51639,2
3403,7694,2
50925,9068,2
49611,6292,4
101003,26429,2
2488,4716,2
1057,68841,10
1057,135352,2
120408,79163,2
14255,19565,10
2003,71876,6
1828,2417,4
119673,36520,6
24044,74169,2
66395,71626,12
119493,126143,15
64310,71199,2
51499,7465,4
119125,83,8
21885,5712,2
5301,92514,2
17668,57376,2
111997,128593,2
11654,53799,5
57670,81916,4
17060,36727,2
119849,5453,3
15362,6680,6
126138,64801,2
33779,609,5
34163,6918,3
103453,38957,11
141,758,2
38399,70522,2
21558,23987,2
22067,43571,2
38613,39980,2
16508,2303,2
1443,35900,5
14664,59615,2
123958,45243,2
14270,7674,2
1118,180,6
100989,30582,4
18828,8413,2
23297,29507,4
23836,24929,2
31946,586,12
2347,2966,2
3832,78569,9
131154,164,12
19166,66342,4
17740,51461,7
118763,30728,2
16355,2849,3
131,45,15
179,94816,20
16142,2099,2
5547,7943,7
13086,32799,2
4423,58860,3
103029,9517,3
310,45280,100
1126,99883,7
121981,37530,25
13372,18508,2
2841,405,2
33856,62709,2
80373,9449,6
29396,74990,2
82444,9023,4
1213,8110,6
66818,71457,2
25434,39207,5
119123,269,8
1135,57724,13
268,94691,22
3293,87762,19
29886,65228,4
32957,81057,2
110010,2814,2
40093,40095,4
21719,5867,3
34945,4819,2
16855,4674,8
17592,53961,12
128,15850,10
60338,8012,5
23956,436,99
104081,2068,2
1811,7991,7
5428,5702,9
135114,27293,7
100709,59554,6
133106,21468,24
46989,7206,2
63607,6522,2
50,8889,26
14394,6997,2
42659,83901,2
2011,76942,8
76847,90600,3
118425,77713,6
792,792,14
1516,54167,12
16327,2132,8
43207,54355,4
17190,211,2
3474,618,33
2940,9122,10
7,789,22
2069,74019,8
15003,7754,5
76474,96864,2
49111,96731,2
34733,4252,2
21016,2102,13
21919,91914,4
3034,9871,2
15399,2105,2
30316,417,21
4216,82774,2
2528,70290,2
20251,9,4
165,4717,13
77713,98685,2
15414,67975,71
119125,26114,2
3748,66244,4
361,628,3
615,87762,5
595,61087,6
25505,571,7
24285,76299,20
24132,26744,2
26678,7000,6
3151,69676,219
26274,88198,16
17508,89197,7
17635,74253,5
16128,33177,9
103311,3832,6
107440,82276,2
29135,32113,2
10781,8362,4
19426,33379,2
38830,52042,4
5687,60885,6
46870,7794,4
2241,59611,13
108324,2425,5
105888,38991,2
18374,27705,3
23907,7940,7
100845,14520,6
32381,3365,2
55065,89898,4
33058,35,4
331,37661,7
344,82769,4
54167,8871,4
16276,32800,2
444,69577,16
122163,3179,10
10817,64431,6
10939,15918,2
34180,4878,2
2168,971,2
12608,1694,21
125117,46117,2
77915,99331,2
2269,558,6
64608,9333,3
21891,96731,4
88070,92,22
20381,624,2
31466,98943,12
125745,36241,7
674,966,12
5279,6673,2
35115,49234,2
18934,49662,10
10277,11006,11
8526,97631,2
68391,76299,32
23956,9540,8
33435,63037,3
1369,69909,2
19206,24367,7
39176,87638,2
107736,8821,2
131356,467,2
5897,66181,14
78671,8217,4
2615,39707,3
15049,31544,3
20876,2192,2
14178,5728,2
1285,166,8
22937,5277,2
11766,16771,2
22816,7982,6
24492,85953,2
118425,32455,10
74396,8357,13
3206,3656,3
1037,1278,2
3951,87431,4
113985,115902,6
121981,15511,12
57724,586,8
2174,9564,3
34292,96864,5
18980,34615,3
3011,68536,4
1642,492,4
107,67553,6
66818,74170,3
42534,7117,2
2924,5243,4
13034,19916,2
111364,70304,2
29899,65452,2
12344,57949,9
76648,770,28
23541,28085,2
11699,9221,4
52628,61821,2
40293,8837,2
26114,83273,9
1678,2927,7
18396,35576,4
25251,28530,3
116778,555,6
1465,87863,6
13814,44139,2
11719,23782,2
42564,65304,2
5724,7998,2
108613,22556,17
111844,112997,4
270,88748,32
1118,9540,7
17024,60040,2
100708,950,4
52873,6765,2
1904,61,3
102254,121787,2
127980,34596,2
67056,92030,2
14663,97916,2
2698,83273,9
118056,97252,4
123752,37032,6
95808,97895,7
46236,69518,2
127980,87866,5
1037,5580,2
3617,74253,5
6780,97628,4
18486,52338,5
17530,33617,12
65083,7169,3
10689,64997,6
6385,69909,104
67705,89197,2
12087,95601,2
2436,4406,2
102566,52080,11
13253,40392,2
75584,82771,2
1324,13593,2
2672,7821,5
1002,407,4
86965,969,10
127777,74909,5
24132,45399,3
541,996,3
10836,20344,3
24717,80755,4
23144,9993,2
24844,86277,6
30329,4904,3
11142,94232,3
104075,8552,2
118056,79733,2
1429,19342,203
27163,51743,4
19773,92287,2
17671,8228,3
18947,48308,3
21231,7806,2
83067,87638,7
23563,3552,2
113833,22068,2
106363,517,16
4375,9950,3
17508,84780,10
1194,39176,4
14724,26556,2
126132,2132,4
15950,9950,2
13970,7491,2
180,5580,113
31202,42659,2
25968,67482,2
13022,519,4
43407,7616,2
28530,3779,2
12384,1738,2
1749,17908,2
17548,91665,7
113823,59976,3
33573,65380,2
10099,17523,5
6036,80845,6
51706,6576,2
28544,55,34
110474,4348,4
10927,18525,2
75584,99884,11
4074,55564,2
3832,5880,2
29944,50681,22
21891,91665,4
20251,330,2
31385,65296,2
22097,70606,2
20000,59620,2
116777,37477,4
104075,27486,13
49111,89781,2
36344,82444,54
5107,6375,2
21819,4008,4
106363,117,2
143,20251,5
11515,3856,2
100161,129450,8
34901,578,20
55937,69676,75
20360,67481,2
36274,68119,3
32585,76473,4
30982,58294,2
31585,9586,2
106658,22913,2
18175,5990,2
22852,9526,2
54280,81716,2
61884,93246,4
4837,7595,2
112312,67482,16
10063,1684,3
2945,45068,8
31765,36387,4
4510,94226,4
55303,756,2
397,704,3
13956,15863,2
4035,612,7
4994,92768,8
3305,7573,5
39893,60885,5
29525,54270,4
28455,41872,3
2153,99472,5
36057,87636,3
242,434,2
12540,87637,3
3840,98942,84
15787,72297,11
20424,31554,2
79733,87866,4
7633,96865,15
45654,94691,149
6017,9627,4
4550,75076,2
13595,997,2
67044,67705,9
16030,36280,2
1821,6479,8
100162,2508,2
53795,67768,22
10085,5599,2
219,3305,11
3368,80179,2
5867,9781,2
25556,3873,6
13911,37322,2
2810,37530,5
34901,8017,21
131786,57615,2
35434,90130,13
1723,4607,2
11605,3936,2
2063,94097,15
28530,36013,3
38733,92646,2
100161,21719,3
120,21468,22
26358,8573,6
10863,32868,4
22094,34039,3
10330,40349,8
25,80844,25
6592,69428,5
20534,55939,6
18924,89197,2
22961,22961,2
44699,91665,4
6773,932,2
17917,52132,6
218,2927,16
3287,82444,2
12233,48753,2
2870,3620,2
23656,45109,2
19342,3848,6
3306,35,2
102111,2871,2
53692,79526,134
51496,71455,2
17256,89681,4
3293,53375,6
103,32988,27
28351,85290,10
13106,79527,14
58340,88624,2
15692,46026,2
3362,38509,2
17340,19711,29
18048,19667,2
121988,65646,2
27486,3229,3
8329,92402,2
128811,83067,7
1960,19793,2
30652,31108,24
27754,52874,2
105268,16641,2
15418,25489,11
23241,32703,2
5728,94224,60
143,955,6
51634,67481,3
1386,30671,7
21406,44228,6
14743,17530,6
25326,42725,3
39893,40166,2
4584,4584,2
2463,45,9
31109,35782,2
4254,69757,2
104075,41981,6
15736,28873,2
5145,80086,3
41485,51893,2
2828,284,4
133123,4021,2
101126,765,3
74169,9588,7
74736,802,11
16651,6293,2
13554,34901,15
1995,41,3
12624,18034,2
104076,23416,4
17530,35988,11
1444,1930,3
1107,4574,9
33058,3306,5
225,88186,26
23641,55516,2
14383,94692,27
18089,48699,3
82961,8765,2
10320,41785,6
55516,88304,2
125747,74741,3
4435,7524,2
142,322,6
361,69909,13
131356,596,7
64616,8439,2
26814,28624,5
54008,72776,22
5662,8756,8
36855,65208,11
102566,5765,9
13498,78120,2
131356,947,5
19359,6950,3
2191,6930,4
131154,579,3
1296,33257,3
22437,51884,2
59981,9955,185
12191,125945,6
22402,29818,13
4148,5333,4
17090,39947,2
3481,82271,22
124742,19797,5
15518,3491,6
107287,3266,2
4244,4244,6
1008,8275,2
15243,94224,5
12344,57948,16
49230,8322,2
115589,62709,7
165,2810,3
20363,8897,4
3025,36897,19
126135,14668,29
5692,5920,6
41613,51240,3
115760,99763,4
80573,96191,5
483,76206,124
13994,20622,2
265,38,3
19342,264,252
16218,51900,2
6262,78581,8
49111,74170,7
3474,55,6
5483,97120,2
15131,27334,2
126774,689,17
1343,5793,2
4374,5949,2
32608,6763,6
11739,1341,3
33177,3695,2
4045,48142,11
30262,60885,15
55516,82778,2
26599,45841,2
115901,31054,2
2940,42725,2
53960,87763,3
12073,48862,2
113001,74739,2
13795,3791,2
4333,77712,3
120039,12532,2
557,82769,7
20160,4344,2
21522,58741,2
4164,5658,3
11342,17372,3
113833,98147,2
44847,862,2
131156,5408,2
110837,23223,3
38452,47095,2
2288,40758,6
7943,934,13
26246,99331,2
2789,2895,5
133107,5023,8
61613,7158,3
49029,88624,17
14310,91547,6
20251,241,20
534,771,10
3549,69753,6
2945,58283,14
12842,33177,2
1126,4923,4
4966,972,2
24831,5010,5
22913,93136,5
21953,30879,3
21761,423,2
16513,24200,2
35709,48348,2
23101,25887,2
5,72552,41
54272,583,4
3074,69909,100
4029,43304,2
124,1369,2
23032,98391,11
3523,9096,2
3654,5559,2
131154,4273,13
101,15,5
8045,9631,2
105258,15413,8
4109,7076,3
1742,7700,2
299,601,3
24603,81626,5
36273,47341,14
101,47,2
4473,8032,3
15038,66672,3
24005,5013,2
258,99472,9
3333,47508,12
2925,41747,2
100845,119489,10
22961,23619,2
77711,955,10
5908,8991,2
35607,86965,5
19759,57141,7
16521,19923,2
107441,6930,6
10767,1753,12
10009,96870,6
3244,5660,2
17320,3586,2
104075,71297,8
146,4429,32
14404,17530,27
25141,4643,3
65989,7538,6
2019,894,85
15558,66181,2
106994,96321,5
31946,6975,18
45120,49749,6
125744,46153,6
689,84983,2
13114,4205,2
14824,5437,2
131154,534,12
21891,39521,20
103313,110478,3
43117,55666,8
3723,48977,2
23429,23801,2
10138,74482,2
1607,770,7
1219,126131,39
53661,98686,2
21919,6909,2
15850,771,4
63444,6854,3
3393,642,9
24285,3016,2
49825,938,3
15418,29966,2
11295,2819,2
2652,5231,2
3121,4717,15
13367,25165,2
13532,9218,2
110477,6705,2
134712,62214,4
20135,2494,2
1037,180,40
27917,76739,4
45485,60886,4
18852,2752,8
21327,4674,16
11403,1813,2
24846,3420,3
17652,18372,2
2023,5049,21
26939,57724,18
3991,92,5
2589,8187,2
77712,91665,2
128,603,2
2512,5269,8
1556,947,2
14077,2230,2
19581,71204,2
2467,72372,6
72552,82078,8
22388,56064,4
17061,18562,2
10563,11403,3
10905,21642,2
178,8471,2
35705,76662,2
45280,99209,40
11623,97118,8
268,55730,2
31604,9988,13
107288,17530,8
20381,63,2
6871,6946,2
3737,39574,2
2164,3567,2
10153,63518,2
64,94096,26
14791,99473,3
436,69676,159
49749,51889,8
17593,29898,2
20363,50671,3
40982,68256,2
23702,3255,4
543,738,2
34669,6914,2
22544,51839,20
106,94816,11
124730,35900,3
115753,2105,5
13413,92768,14
227,52709,29
1277,99636,11
2950,45069,5
40020,98391,4
360,90,5
2046,94692,28
118942,42495,14
105888,9395,63
11677,82654,5
34382,89898,5
26792,5171,2
339,85,6
12844,5346,2
53468,63444,2
17530,51984,5
116962,89083,5
106035,11673,3
2821,8459,2
2388,4300,28
117153,6276,2
118425,3551,2
1491,2090,3
101960,40767,2
13953,47768,2
116777,39763,11
15115,4616,2
11499,9193,2
36109,72464,6
110165,9829,4
28665,6457,2
49232,9416,2
1193,82769,2
2343,8755,7
7105,83067,11
66,75418,8
1064,8778,4
131154,23220,21
17431,53268,2
5706,6133,10
273,8802,4
106658,89781,2
107588,21408,5
4439,8728,6
21549,26931,2
130919,42734,2
107747,82972,2
110474,2789,4
1527,6327,2
1843,2611,5
416,62555,10
32149,5233,16
143,430,7
3544,87431,3
1021,38336,28
38468,6710,4
1519,55155,2
4981,6718,3
5400,6796,4
66897,79733,2
42535,55899,2
22985,45482,2
101963,58513,5
15498,51550,2
10435,12608,118
1160,14045,2
132236,6954,4
134904,8293,2
40678,60032,2
624,975,19
16157,74169,4
151,82271,15
72463,747,22
38613,56781,2
12707,20075,8
3312,94939,8
133,681,3
39599,6752,2
30383,9448,2
12458,35243,2
17591,25973,3
19508,86277,2
3059,8583,2
15984,36999,9
121981,3121,43
31108,36551,19
2018,70139,13
21,28,20
116778,1985,12
42595,50091,4
119489,3287,2
162,59729,6
17659,21888,2
101390,3857,4
45483,46870,3
11155,5387,11
13592,79733,2
1369,894,21
13345,13345,8
130520,22387,9
11751,1989,13
112327,28212,2
10348,9222,13
31195,84,23
20740,72862,20
86977,9599,2
10477,29602,5
362,835,2
291,7573,8
32483,38239,3
42734,51377,2
19194,626,6
14785,75429,2
104076,43271,34
130,60333,37
12236,6300,7
109522,13595,2
1381,1958,2
72552,9,35
130112,7378,4
17386,8694,2
21739,70213,4
72133,93503,2
19668,22402,6
12875,61432,2
34124,6743,2
10162,32774,2
115571,37357,3
35383,48307,8
1346,14078,2
39890,51499,2
46471,92767,5
19342,4722,123
24790,54237,3
14833,59971,2
2651,27486,6
11996,2191,2
32988,86170,27
19369,39047,3
204,67553,19
12596,76474,2
20251,803,4
38710,77917,5
1151,18064,2
146,25,35
29429,7774,3
146,716,23
19662,27100,10
40091,92768,5
36274,93748,4
242,47,3
104075,81713,6
17580,35900,2
53169,7657,4
32561,91276,4
4101,4896,5
55054,9025,2
14310,18253,2
26214,7061,2
20867,4632,2
1673,178,3
16981,29406,10
235,69676,137
12364,2515,5
101263,6963,2
103,66056,16
15123,35037,2
35336,49749,4
4853,97119,5
541,603,14
28530,31086,3
5008,5353,3
21717,56559,2
9125,9273,9
1738,26831,2
5275,70076,22
68,72463,13
32834,39236,2
101265,37744,4
10686,17060,2
1159,730,4
131356,229,2
14066,81453,3
131991,399,41
1092,15850,16
52398,92512,11
49994,7055,3
843,8964,2
102412,780,16
2836,74647,10
28740,3772,8
21537,5388,2
1717,69345,7
53692,6914,165
166,466,5
25238,52721,2
11647,53795,26
1930,76649,3
15138,17966,2
104829,31156,7
16136,6068,9
106658,39624,2
1099,60645,3
2710,42495,18
32653,54498,2
5117,735,3
18158,98806,2
16032,24134,3
70912,94939,4
19135,34919,2
62711,67975,3
10016,90130,7
2291,32730,2
31990,65564,9
10030,61146,3
552,8110,5
116971,127780,2
54852,59981,2
124543,2,3
1014,106363,18
52876,68119,2
8303,9449,5
55414,7481,2
148,63028,5
40137,4176,2
35762,76303,2
11800,6981,3
2279,3683,2
2348,53905,10
15405,9891,4
51742,74987,21
7204,93861,4
101533,11551,3
15857,6277,2
130118,45810,2
49611,8186,4
21296,25827,2
128820,15222,2
21546,35934,6
1679,45730,4
72935,758,4
48978,59249,7
1006,4065,3
4433,55997,14
125117,9585,9
138,19342,4
15850,663,5
4034,5084,2
129896,4133,2
416,99209,14
2865,9485,2
15573,416,2
16715,81452,3
29936,45,2
27849,59973,2
53475,54270,4
3267,6917,2
1936,65759,4
1228,955,13
2090,489,2
2893,8964,3
72130,91914,4
119848,122,52
36247,87864,2
12336,71384,2
17225,22387,3
6277,74987,19
31724,81906,6
2247,316,4
2502,3021,5
14055,17085,4
381,89431,10
34161,94949,3
18324,39047,6
15723,3779,3
12522,3413,8
278,959,4
492,55937,123
74908,9079,2
18525,29898,2
110479,25704,2
102725,54045,5
17214,23936,7
70845,9780,8
1127,9387,2
180,6385,62
15505,99774,3
1650,6911,2
5172,85827,2
22402,9453,4
61196,6597,5
105260,35007,2
82444,96588,4
22673,59968,2
1220,1687,12
15845,17058,2
6019,7487,2
15979,18919,2
4853,97117,11
1827,3086,5
41984,62906,3
74744,87637,5
1472,4218,3
28530,68060,4
2484,5440,2
13023,3214,2
33895,7858,4
121982,5273,2
11269,26357,4
100450,35434,13
101,115027,3
23188,49191,2
1389,1769,4
12955,49158,2
20524,7756,8
13938,4271,2
1954,22556,7
1729,532,18
416,6347,4
34210,89432,3
12886,77123,2
122170,8105,2
267,6393,9
4009,74646,3
4603,47208,2
13676,82654,26
52042,78215,5
67324,6871,2
1664,67043,81
2036,38132,3
14066,53529,17
24132,81057,10
2554,294,2
39709,4001,2
19149,24115,14
41543,90926,2
2067,848,2
45391,72,106
10283,8792,5
37720,6045,3
330,690,7
5805,95587,2
4722,69676,146
115393,29770,6
46674,79432,17
38991,9395,12
1028,74828,35
105425,22256,3
116777,62214,6
24046,31539,3
26334,7125,2
102567,129447,11
46384,5759,5
371,942,3
17190,36037,6
100710,71457,2
17530,49916,122
32420,8398,2
22328,25030,2
16621,26923,2
13867,5799,3
121982,16578,11
1148,1568,2
54166,662,131
18416,64000,3
38269,901,2
56284,654,12
10413,6277,2
131154,3167,3
3377,33779,8
112836,30491,2
123748,70516,7
21866,84338,9
110835,2880,13
102566,369,10
36415,60895,5
36274,53222,2
138,9540,2
18633,34877,4
63933,9585,2
12925,48348,3
13854,99882,8
31946,383,4
3514,74482,7
554,74,2
38246,53169,2
33280,58340,2
43575,80653,4
94225,95955,3
158,36551,12
3731,5705,2
39016,5265,3
29825,70213,2
13398,36247,4
1902,36625,4
35116,43637,3
104075,16812,5
264,99209,2
134700,59799,5
25326,999,20
34059,83901,4
83901,84780,2
13471,41785,8
32975,47094,2
11292,21406,2
15299,4391,2
2773,2813,2
131154,820,7
119124,87864,2
124555,52081,2
14549,15480,2
33241,7498,3
14097,53799,2
16002,96321,4
32172,44497,3
11456,62555,117
1733,8470,2
2198,6099,2
1957,34085,2
12977,4387,2
16007,21408,4
1782,59611,10
2871,99473,4
56063,87637,13
69067,90817,4
1895,46026,6
1436,94562,3
392,7888,3
3420,86965,2
3565,7505,3
135352,5179,5
119123,51,6
103462,69196,3
21630,92413,5
18089,64613,2
2811,31899,2
23956,3848,2
8054,9463,3
3459,6563,5
246,88303,2
2838,81236,4
19078,20096,2
14687,43085,4
11551,58340,2
17364,2270,2
2111,81236,3
107732,24969,3
23824,67195,4
5162,55997,8
36216,9369,2
109839,2840,2
10676,5271,2
10291,29858,3
249,82271,9
101004,63037,4
53692,894,98
416,95,6
323,554,3
41640,86179,2
45,8266,2
10858,17207,2
25615,51461,2
22084,86180,3
1126,26768,9
16041,16071,3
606,748,3
75761,8552,6
135357,42188,2
134700,62210,15
100989,108482,5
20096,93007,2
17530,32545,6
14094,7675,2
291,383,3
74482,9993,4
52081,91172,7
13197,880,2
1002,53008,3
117324,2760,9
1738,5161,3
318,94691,29
13897,5143,4
28530,9168,2
104540,4623,5
13398,92767,2
119848,210,21
26309,27256,3
15418,17322,19
74253,7504,3
19155,77810,4
13554,572,26
111,18387,11
459,52080,11
10972,7355,7
35607,76835,3
19581,43715,2
65004,95594,6
4572,76299,3
2129,21529,2
104075,1335,3
15697,96588,2
34162,76120,3
67975,9168,5
26814,8480,8
15414,9955,2
21524,31514,4
74828,762,6
22513,48189,3
53269,761,3
14075,90595,3
15413,82961,2
134904,25091,3
35339,9544,2
35850,36622,4
26997,43403,5
34854,4685,2
1041,16275,3
28530,59981,48
51934,94939,5
24729,38956,13
166,18387,5
17452,39125,2
54167,597,7
1283,285,2
15341,62388,4
11456,124,251
108322,383,15
22118,60335,5
20461,58514,3
80170,8719,5
33307,48025,2
106363,205,24
2926,6113,6
106363,373,5
261,3848,2
54846,6374,17
