scaffold1,scaffold2,connections
108022,62272,13
1002,1429,116
2322,4615,2
434,63028,2
20534,55938,9
42734,84780,13
45120,51889,2
10009,86073,2
74481,773,65
2055,34445,2
42401,67975,2
127980,79733,22
23536,3734,5
28221,59377,2
91042,9126,14
18078,39660,21
121988,38399,2
87636,9448,12
28530,67975,13
295,96588,11
127776,19009,10
12984,16669,3
12608,1369,13
131154,745,4
100710,53222,2
13853,8067,2
119489,123,14
4099,831,14
25888,33380,4
10278,82445,4
44846,70760,6
11699,22430,6
123354,97376,2
115027,47,13
24762,77215,4
100845,178,12
10836,16907,4
34161,64085,2
1477,92768,4
37927,49872,3
122932,13042,5
1329,59611,9
17542,18852,2
1620,8501,3
57724,9938,19
10154,10790,2
1309,23441,2
30654,94224,5
104075,3328,11
41815,81355,3
14988,65294,2
68398,74843,4
42858,5740,4
16302,5409,2
1702,2397,3
22673,3568,3
11699,35336,25
120,1872,15
197,28544,29
1431,62555,117
16763,96864,3
730,74736,12
3306,393,6
69519,98530,2
4928,6083,3
130720,4685,5
26755,9620,2
14564,3409,3
1084,23653,6
8471,98687,6
31274,43676,7
7795,7799,2
11623,3004,6
10835,76960,2
1715,9164,20
103608,68927,4
13554,99,19
21511,22283,8
103158,264,6
108615,4015,2
123554,9394,4
14332,4711,2
31583,45289,2
41035,5296,201
4598,6088,2
52398,5636,6
132434,58855,16
11146,87636,3
40310,94224,6
119123,651,2
373,522,5
67705,84780,6
15093,2303,2
19916,62023,2
132642,94224,3
119848,2109,26
10669,41197,2
530,94816,17
768,8975,2
146,852,48
570,8778,6
1912,46834,2
12158,17105,2
3113,45067,2
1421,54271,3
18015,8012,4
3187,5234,2
119506,29669,2
45075,9065,2
114157,29723,2
3171,9308,9
37668,62023,2
34212,95069,3
26502,93748,3
66246,855,2
11055,39707,5
11288,9615,2
37322,38135,2
2206,2250,9
131797,58517,2
107284,33780,6
1917,5100,15
279,41035,171
5736,963,4
10998,16105,4
25538,91915,4
113986,38509,2
18965,26246,2
15796,18870,2
42467,4744,5
21642,94691,105
33438,34807,2
21498,37213,2
101389,25709,19
7621,81829,2
111524,25382,2
105425,1148,2
45734,6669,2
180,3074,55
4761,88749,5
110166,73704,6
15201,4327,2
15145,28530,3
5317,82085,3
14417,67975,2
43117,49872,3
18014,87863,6
10824,47572,2
28264,42400,2
146,868,29
131356,3546,7
6597,784,8
1118,23956,3
24844,55355,6
1976,60400,2
6036,79536,4
19400,7150,9
23429,64310,2
24844,393,5
118056,6886,3
14836,2491,2
18553,6559,2
161,43900,20
233,3474,44
59611,86966,14
64009,97895,10
14077,87951,10
13423,9585,3
22587,97628,4
57896,8280,3
1074,1132,10
115571,51634,8
26814,50342,4
113016,59316,3
18774,28846,13
13085,67786,2
15722,76120,3
12243,13983,3
24789,3146,2
619,6625,4
55774,9125,15
30496,3214,2
6036,81541,4
20251,20396,2
17514,77035,2
116777,5784,7
130532,99216,5
496,83273,4
49190,589,2
24562,96588,13
110022,5142,2
13029,9559,4
19067,21153,4
15697,295,3
124936,70760,5
28873,43537,2
27146,33009,2
19990,47067,2
131356,2877,9
4695,780,4
12847,67848,10
29592,52925,3
258,62506,64
12596,96864,20
24539,35005,2
5580,69909,235
1193,54,4
28530,5867,5
26939,780,3
47891,8434,4
335,726,9
21275,59981,5
16297,65380,7
2232,643,2
2828,522,8
15850,208,10
116777,37662,3
9020,92021,3
48094,8960,7
35211,67483,2
108915,22556,7
17442,8384,2
103608,32608,8
22805,70980,8
41508,517,2
30711,63864,3
23827,40834,2
13592,66897,3
17225,63864,2
20085,24918,3
9021,92402,2
121988,124555,2
34717,71124,6
102566,94692,131
27256,69754,3
131157,2753,5
2152,3458,2
12003,21607,8
25159,8078,2
29123,88624,3
4978,65989,2
112005,58182,4
102425,76392,103
1543,35900,5
18175,7627,3
74396,99472,20
101130,26417,3
6595,6984,3
21721,26542,2
39599,51137,7
115760,83078,5
110,170,2
12575,75089,2
5525,8736,2
45654,69909,189
2478,64248,14
27971,57315,5
10724,6181,2
57724,579,9
53008,9540,14
571,74396,15
102111,72466,2
16725,45729,11
20892,62436,2
48,74828,19
22287,45248,2
49872,67046,4
15,389,2
24132,95586,4
24,74987,9
108916,86745,2
16981,71297,4
53008,62555,122
37357,77917,23
196,6662,20
1891,26788,2
125333,5713,4
36388,4324,3
103471,128198,2
113,45,2
4114,94098,2
5259,98701,2
16193,7734,8
25027,67975,4
101960,16230,2
3715,44265,2
103612,29000,4
310,89,86
7679,77448,5
115760,52081,2
65228,82449,4
82079,87863,14
10767,6229,9
51806,6992,8
69509,73794,8
24430,67324,2
5304,63445,2
2561,51,5
14163,40387,2
34901,572,20
10872,16752,2
6534,9920,3
93004,94097,14
106365,38001,8
1140,2161,2
14184,55474,7
1161,429,2
107571,15256,4
3552,47935,2
23702,95942,2
116778,90713,11
114516,17807,2
50,813,8
18397,31037,2
25004,3976,2
18987,87638,4
119673,349,4
121405,40267,2
103612,30329,4
1249,1961,2
7077,73946,5
131991,1917,28
54957,55,45
15530,81712,17
124736,126571,2
1428,19636,5
17992,66456,2
1042,7264,4
32892,78481,3
32604,3551,5
227,76,3
30879,65369,3
1363,9636,2
14281,65213,2
1004,62506,58
13911,1906,3
12191,59681,4
7089,84208,3
3864,76835,5
103618,52081,3
10467,12922,5
44,822,10
489,96588,2
102412,216,17
440,74481,84
112827,37900,3
522,74019,5
2453,41981,2
10592,4095,4
138,99209,8
367,564,7
13314,47167,3
124939,47465,3
17650,54271,2
41984,9221,2
10016,100450,12
50170,8800,2
176,19342,2
60843,8937,2
21891,93748,3
130132,18492,10
2,21760,34
10151,19117,2
139,16467,3
121983,133107,8
50671,68119,6
45700,77828,2
172,603,12
69341,93631,8
59196,6805,27
416,79526,3
17,9134,7
121406,18774,4
13160,74828,13
119125,83273,5
119144,8730,2
5816,5881,3
2631,53015,2
10136,107130,2
111687,12232,2
25753,34168,5
93748,95807,2
26,66056,5
170,312,2
102567,12504,7
1082,1825,18
37928,39082,2
345,597,5
38399,65646,34
3553,4231,6
39704,59376,5
109221,22466,5
10042,56784,3
43087,68123,2
11699,38514,2
11859,46561,2
7343,82552,2
51461,7310,3
1512,95940,4
10501,60886,2
2421,40551,2
13936,45698,4
34553,62709,2
58734,98525,4
12522,86965,2
1013,20251,2
2903,4743,2
17401,19871,2
63037,70600,2
10073,4875,3
35579,74753,3
7888,96588,5
18960,23144,3
2165,80003,2
53692,626,111
128605,4952,2
11456,894,217
112312,32957,11
1278,361,27
40160,597,3
12370,29838,4
110012,61331,2
74396,8633,2
303,32,19
127159,62148,8
11639,1484,2
25235,4891,2
18482,20229,3
2005,31886,2
41543,4761,6
48590,53591,8
13457,71125,2
